Job Title,Salary Estimate,Company Name,Contract type,Location
Product Manager,Cooperation with stakeholders Product management Business Analysis Product vision English Communication skills Feedback and data analytics Defining business requirements Proactivity, Shopee Poland ,"brutto miesięcznie (UoP) 
oblicz netto",Hybrydowo +1
Administrative Support Specialist,English Critical thinking Analytical skills MS Office Data analysis, Link Group ,"+ vat (B2B) miesięcznie 
oblicz ""na rękę""","Zdalnie
Warszawa, Wrocław, Poznań +1"
Mathematical modeler/data scientist,English Python Team player Communication skills System analysis Problem solving Critical thinking, IDEA team within Narodowe Centrum Badań Jądrowych ,"brutto miesięcznie (UoP) 
oblicz netto","Zdalnie na czas Covid
Warszawa, Wołodyjowskiego 83"
Junior ITSM Consultant,English Polish System analysis Basic programming skills Analytical skills, Concept Data Sp. z o.o. Sp.k. ,"+ vat (B2B) miesięcznie 
oblicz ""na rękę""",Hybrydowo +2
Data Analyst,Tableau ETL, DevsData LLC ,"brutto miesięcznie (UoP) 
oblicz netto","Warsaw, Aleje Jerozolimskie"
Product Data Analyst,Communication skills English Team player Problem solving Proactivity SQL Python, Adyen ,"brutto miesięcznie (UoP) 
oblicz netto",Hybrydowo +1
Data Analyst,SQL English, Avenga ,"+ vat (B2B) miesięcznie 
oblicz ""na rękę""","Zdalnie
Warsaw"
Senior Performance Marketing Analyst,3-5 lat doświadczenia w analityce internetowej Doświadczenie w prowadzeniu kampanii PPC Doświadczenie przy optymalizacji i konfiguracji konwersji Znajomość Google Analytics Universal i GA 4 Znajomość zagadnień związanych z atrybucją wielokanałową analityczny i biznesowy mindset język angielski na poziomie min B2 nastawienie na realizację założeń proaktywność i samodzielność otwartość na testowanie nowych rozwiązań i wnioskowanie, No Fluff Jobs ,"+ vat (B2B) miesięcznie 
oblicz ""na rękę""","Zdalnie
Gdynia, Kraków"
Data Scientist,Excel SQL Tableau English Business analysis Communication skills Problem solving, Simon - Kucher & Partners ,"brutto miesięcznie (UoP) 
oblicz netto",Hybrydowo +2
Remote DevOps Engineer - BI Solutions,SQL English communicative Oracle ETL - preferowany IBM Infosphere Data Stage Linux Windows Server Bash/PowerShell/Ansible, ING BANK ŚLĄSKI SPÓŁKA AKCYJNA ,"brutto miesięcznie (UoP) 
oblicz netto","Zdalnie
Katowice, Warszawa, Wrocław +2"
